number,value,datetime_start,datetime_complete,duration,params_dropout,params_latent_size,params_n_layers,state
0,0.5482251644134521,2025-04-18 10:41:33.809713,2025-04-18 10:42:10.049486,0 days 00:00:36.239773,0.3222884255004711,33,10,COMPLETE
1,0.4488535821437835,2025-04-18 10:42:10.054442,2025-04-18 10:43:26.896487,0 days 00:01:16.842045,0.315448062161702,8,2,COMPLETE
2,0.4856902956962585,2025-04-18 10:43:26.899276,2025-04-18 10:44:26.266046,0 days 00:00:59.366770,0.0006056490546730298,22,7,COMPLETE
3,0.3419255316257477,2025-04-18 10:44:26.270395,2025-04-18 10:46:10.185334,0 days 00:01:43.914939,0.10740297995081638,28,2,COMPLETE
4,0.3662402629852295,2025-04-18 10:46:10.188436,2025-04-18 10:48:09.656871,0 days 00:01:59.468435,0.21106531362852488,26,2,COMPLETE
5,0.5507562160491943,2025-04-18 10:48:09.659827,2025-04-18 10:48:40.065003,0 days 00:00:30.405176,0.4556197457482981,39,10,COMPLETE
6,0.5249460339546204,2025-04-18 10:48:40.069039,2025-04-18 10:49:11.253491,0 days 00:00:31.184452,0.32638675636314946,35,7,COMPLETE
7,0.5483043193817139,2025-04-18 10:49:11.256815,2025-04-18 10:49:30.154725,0 days 00:00:18.897910,0.35494080188504284,31,15,COMPLETE
8,0.5209664106369019,2025-04-18 10:49:30.157638,2025-04-18 10:51:47.480281,0 days 00:02:17.322643,0.3510685072892526,27,1,COMPLETE
9,0.5367419719696045,2025-04-18 10:51:47.484861,2025-04-18 10:52:34.318133,0 days 00:00:46.833272,0.19568495792414992,23,7,COMPLETE
10,0.4781550467014313,2025-04-18 10:52:34.335087,2025-04-18 10:54:11.127230,0 days 00:01:36.792143,0.06935153487269535,9,4,COMPLETE
11,0.4940306842327118,2025-04-18 10:54:11.130255,2025-04-18 10:55:14.407038,0 days 00:01:03.276783,0.17332122221774582,45,4,COMPLETE
12,0.3971256911754608,2025-04-18 10:55:14.410514,2025-04-18 10:56:58.176176,0 days 00:01:43.765662,0.13831246427407892,15,3,COMPLETE
13,0.5134654641151428,2025-04-18 10:56:58.179667,2025-04-18 11:01:20.039357,0 days 00:04:21.859690,0.08274410385112374,15,1,COMPLETE
14,0.5162822008132935,2025-04-18 11:01:20.043208,2025-04-18 11:01:47.374026,0 days 00:00:27.330818,0.24208467159653663,48,5,COMPLETE
15,0.5482524633407593,2025-04-18 11:01:47.377499,2025-04-18 11:02:33.245653,0 days 00:00:45.868154,0.24540375518049612,17,15,COMPLETE
16,0.4791640639305115,2025-04-18 11:02:33.249827,2025-04-18 11:03:58.456450,0 days 00:01:25.206623,0.09610254279382002,41,5,COMPLETE
17,0.5482755899429321,2025-04-18 11:03:58.459538,2025-04-18 11:04:32.506524,0 days 00:00:34.046986,0.002378749770045735,28,10,COMPLETE
18,0.5482928156852722,2025-04-18 11:04:32.509817,2025-04-18 11:04:58.151267,0 days 00:00:25.641450,0.1645868291582199,22,12,COMPLETE
19,0.4956693351268768,2025-04-18 11:04:58.154582,2025-04-18 11:06:19.232439,0 days 00:01:21.077857,0.48381893074790555,36,3,COMPLETE
20,0.4959363043308258,2025-04-18 11:06:19.236866,2025-04-18 11:08:50.036532,0 days 00:02:30.799666,0.22697972820823795,30,1,COMPLETE
21,0.481777548789978,2025-04-18 11:08:50.039736,2025-04-18 11:09:38.163606,0 days 00:00:48.123870,0.1507772722942736,3,3,COMPLETE
22,0.3918654918670654,2025-04-18 11:09:38.166489,2025-04-18 11:11:41.988735,0 days 00:02:03.822246,0.10956487526963513,19,3,COMPLETE
23,0.4596016407012939,2025-04-18 11:11:41.992242,2025-04-18 11:13:09.407987,0 days 00:01:27.415745,0.11431902870881606,18,5,COMPLETE
24,0.3336390852928161,2025-04-18 11:13:09.411241,2025-04-18 11:14:49.978872,0 days 00:01:40.567631,0.03522750425666828,24,2,COMPLETE
25,0.4183557629585266,2025-04-18 11:14:49.982143,2025-04-18 11:17:19.367049,0 days 00:02:29.384906,0.041392070262768144,25,2,COMPLETE
26,0.482144832611084,2025-04-18 11:17:19.370737,2025-04-18 11:18:57.962708,0 days 00:01:38.591971,0.04491990813761518,28,6,COMPLETE
